"","income","members","rooms","dwelling","prov","roof","wall","dwelling.own","water","toilet","toilet.share","electricity","landline","cellphone.use","refuse.removal","street.light","radio","hifi","tv","satelite","video","computer","camera","cellphone.own","tv.les","gas.stove","microwave","fridge","washer","district.council","head.absent","head","head.educ","head.age"
"49",7.5784213361665,6,6,"na","KwaZulu.Natal","cardboard","na","yes","priv.borehole","pit.ventilation","na","na","not.working","na","yes","no","na","na","na","yes","na","yes","yes","na","na","yes","na","na","na","Central","no","female",2,78
"50",2.8004020310424,15,5,"na","KwaZulu.Natal","iron","brick","yes","priv.borehole","pit.ventilation","na","na","not.working","na","yes","working","yes","yes","na","yes","yes","yes","yes","na","na","na","yes","na","yes","Central","no","male",7,52
"51",6.6102242693462,7,4,"hut","KwaZulu.Natal","cardboard","brick","yes","com.borehole","pit.ventilation","na","na","not.working","na","yes","no","na","yes","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Central","no","female",7,50
"52",6.13432726716139,7,5,"semidetached","KwaZulu.Natal","brick","plastic","yes","com.borehole","pit.ventilation","yes","na","not.working","na","yes","no","yes","yes","na","yes","yes","yes","yes","na","na","yes","na","na","yes","Central","no","female",2,63
"53",6.15788316795194,14,8,"na","KwaZulu.Natal","cardboard","plastic","yes","priv.borehole","pit.ventilation","yes","na","not.working","na","yes","no","yes","yes","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","male",3,63
"54",7.48986137053407,2,6,"na","KwaZulu.Natal","cardboard","na","yes","na","chemical","yes","na","not.working","na","na","no","na","yes","na","yes","yes","yes","yes","na","na","yes","na","na","yes","Central","no","male",11,26
"55",5.23239377205574,11,4,"na","KwaZulu.Natal","cardboard","plastic","yes","priv.borehole","pit.ventilation","na","na","not.working","na","na","no","na","yes","na","yes","yes","yes","yes","na","na","yes","yes","na","na","Central","no","female",4,60
"56",5.52429369375347,4,4,"na","KwaZulu.Natal","cardboard","thatching","yes","na","pit.ventilation","na","na","not.working","na","yes","no","yes","yes","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","female",2,60
"58",6.08017604921219,16,11,"na","KwaZulu.Natal","cardboard","plastic","yes","priv.borehole","chemical","yes","na","na","na","na","no","yes","yes","na","yes","yes","yes","yes","yes","na","yes","na","na","yes","Central","no","female",4,65
"59",5.75599231056114,16,8,"na","KwaZulu.Natal","cardboard","plastic","yes","priv.borehole","pit.ventilation","yes","na","not.working","na","yes","no","na","na","na","yes","na","yes","yes","na","yes","na","na","yes","yes","Central","no","female",0,71
"60",5.55005335716348,2,-3,"hut","KwaZulu.Natal","cardboard","thatching","yes","priv.borehole","pit.ventilation","no","na","not.working","na","yes","no","yes","na","na","yes","yes","yes","yes","na","na","yes","na","na","yes","Central","no","female",4,42
"61",5.96960178198185,13,-3,"hut","KwaZulu.Natal","cardboard","brick","yes","priv.borehole","pit.ventilation","yes","na","not.working","na","yes","no","na","na","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Central","no","male",0,54
"63",5.18598818157412,4,2,"na","KwaZulu.Natal","cardboard","wood","yes","com.borehole","pit.ventilation","na","yes","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Central","no","female",6,35
"65",7.36369636080013,6,4,"hut","KwaZulu.Natal","na","cardboard","yes","na","pit.ventilation","na","na","not.working","na","yes","no","na","na","yes","na","yes","yes","na","na","yes","yes","na","yes","yes","Xhariep","no","female",7,84
"66",6.14115522264357,8,7,"hut","KwaZulu.Natal","rock","na","yes","yard","pit.ventilation","na","na","working","na","yes","no","na","na","yes","yes","yes","yes","yes","na","na","yes","yes","na","yes","Xhariep","no","male",11,36
"68",5.87079465806759,3,3,"hut","KwaZulu.Natal","concrete","brick","yes","na","pit.ventilation","yes","na","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","yes","na","yes","yes","yes","Xhariep","no","female",0,73
"71",5.50572438291417,12,10,"hut","KwaZulu.Natal","concrete","brick","yes","com.borehole","pit.ventilation","yes","no","not.working","na","yes","no","na","na","na","yes","yes","yes","na","yes","yes","yes","yes","yes","yes","Xhariep","no","female",0,67
"72",6.40403798450378,3,4,"backyard.house","KwaZulu.Natal","concrete","na","yes","com.borehole","chemical","yes","na","working","na","na","no","na","na","na","yes","na","yes","yes","na","na","yes","na","na","yes","Central","no","female",10,35
"73",8.44995937456369,4,5,"backyard.house","KwaZulu.Natal","rock","na","yes","na","na","yes","na","na","na","na","working","na","na","na","na","na","na","yes","na","na","yes","na","na","na","Central","no","male",13,37
"74",8.62722998279619,4,6,"backyard.house","KwaZulu.Natal","rock","na","yes","na","na","yes","na","na","na","na","working","na","na","na","yes","na","na","na","na","na","na","na","na","na","Central","no","male",11,51
"76",9.17123839396111,4,8,"backyard.house","KwaZulu.Natal","rock","na","yes","na","na","yes","na","na","na","na","working","na","na","na","yes","na","na","na","na","na","yes","na","na","na","Central","no","female",16,45
"77",8.42927830979829,5,5,"backyard.house","KwaZulu.Natal","rock","plastic","yes","na","na","yes","na","working","na","na","working","na","na","na","yes","na","na","na","na","na","na","na","na","na","Central","no","male",13,40
"78",7.3132203870903,1,1,"na","KwaZulu.Natal","iron","plastic","no","com.borehole","pit.ventilation","na","na","not.working","na","yes","working","na","na","yes","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Central","no","male",10,20
"79",6.73736229305346,3,3,"na","KwaZulu.Natal","iron","na","no","priv.borehole","pit.ventilation","na","na","not.working","na","na","not.working","yes","na","na","yes","na","yes","na","na","na","yes","yes","na","yes","Central","no","female",10,44
