"","income","members","rooms","dwelling","prov","roof","wall","dwelling.own","water","toilet","toilet.share","electricity","landline","cellphone.use","refuse.removal","street.light","radio","hifi","tv","satelite","video","computer","camera","cellphone.own","tv.les","gas.stove","microwave","fridge","washer","district.council","head.absent","head","head.educ","head.age"
"4663",8.47662188432977,6,4,"na","Western.Cape","cardboard","na","yes","na","na","yes","na","na","na","na","working","na","na","na","yes","na","na","na","na","na","yes","na","na","na","Siyanda","no","male",8,42
"4664",6.86880652884356,5,3,"shack","Western.Cape","cardboard","wattle","yes","priv.borehole","na","yes","na","not.working","yes","na","working","na","na","na","yes","na","yes","yes","na","na","yes","yes","na","yes","Siyanda","no","male",7,36
"4665",7.35387564896144,2,4,"na","Western.Cape","iron","na","yes","na","na","yes","na","na","na","na","working","yes","yes","na","na","na","yes","yes","na","na","yes","na","na","na","Siyanda","no","male",12,35
"4666",5.57251886850749,11,3,"backyard.shack","Western.Cape","rock","na","yes","na","na","yes","na","na","na","na","working","na","yes","na","yes","na","yes","yes","na","na","na","na","na","yes","Central Karoo","no","female",4,76
"4668",6.5590885810718,7,5,"backyard.shack","Western.Cape","rock","na","yes","na","na","yes","na","not.working","yes","na","working","yes","na","na","yes","na","yes","yes","na","na","yes","na","na","yes","Central Karoo","no","male",0,67
"4669",6.14720239213115,9,4,"backyard.shack","Western.Cape","rock","na","no","na","na","na","na","not.working","na","na","working","yes","na","na","yes","yes","yes","yes","yes","na","yes","yes","na","yes","Central Karoo","no","male",11,60
"4670",6.65589333756201,4,5,"shack","Western.Cape","rock","na","yes","na","na","yes","na","not.working","na","yes","no","na","na","na","na","yes","na","na","na","na","yes","na","na","yes","Central Karoo","no","female",10,46
"4671",6.49326802606619,2,1,"na","Western.Cape","rock","na","yes","na","na","yes","na","not.working","na","na","working","yes","yes","yes","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central Karoo","no","female",12,26
"4672",7.09009921508297,3,4,"backyard.shack","Western.Cape","rock","na","yes","na","na","yes","na","working","yes","na","working","na","yes","na","yes","na","yes","yes","na","na","na","na","na","na","Central Karoo","no","male",5,62
"4673",5.39106823273068,5,3,"na","Western.Cape","rock","na","no","na","flush.offsite","yes","na","not.working","na","na","working","yes","yes","na","yes","na","yes","yes","na","yes","yes","na","yes","yes","Central Karoo","no","female",7,33
"4674",6.56195201319046,6,4,"backyard.shack","Western.Cape","rock","plastic","yes","na","na","na","na","na","na","na","not.working","yes","yes","na","yes","na","yes","yes","na","na","na","na","na","na","Central Karoo","no","male",2,73
"4675",6.40751216145359,3,2,"na","Western.Cape","na","sheeting","yes","na","na","yes","na","not.working","na","na","working","yes","na","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central Karoo","no","female",1,43
"4676",6.59207579666023,5,-3,"backyard.shack","Western.Cape","rock","na","no","na","na","yes","na","working","yes","na","working","na","na","na","yes","yes","yes","na","yes","yes","yes","na","na","yes","Central Karoo","no","male",4,61
"4677",6.27827971114399,11,5,"na","Western.Cape","rock","na","yes","na","na","na","na","working","yes","na","working","na","na","na","yes","yes","yes","yes","yes","na","yes","na","na","na","Central Karoo","no","male",6,57
"4678",6.46709269554658,17,5,"na","Western.Cape","rock","na","yes","na","na","no","na","na","na","na","working","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Central Karoo","no","male",4,79
"4679",6.12972044130477,2,5,"na","Western.Cape","rock","na","no","na","na","na","na","working","na","na","working","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Central Karoo","no","male",6,46
"4680",7.60103660581751,4,4,"na","Western.Cape","rock","na","yes","na","na","yes","yes","na","na","na","working","na","na","na","yes","na","na","na","na","na","yes","na","na","na","Central Karoo","no","male",12,35
"4681",7.86721188135188,3,5,"na","Western.Cape","cardboard","na","yes","na","na","yes","na","na","na","na","working","na","na","na","yes","na","na","yes","na","na","yes","na","na","na","Central Karoo","no","female",8,40
"4682",8.01195754607805,4,5,"na","Western.Cape","cardboard","na","yes","na","na","yes","na","na","na","na","working","na","yes","na","na","na","na","na","na","na","na","na","na","na","Central Karoo","no","male",12,33
"4683",8.09169922388037,2,3,"na","Western.Cape","rock","plastic","yes","na","na","yes","na","na","yes","na","working","na","na","na","na","na","yes","na","yes","na","yes","na","na","na","Central Karoo","no","male",11,46
"4684",7.47405251876764,2,5,"na","Western.Cape","cardboard","na","yes","na","na","no","na","na","na","na","working","na","na","na","na","na","na","na","na","na","yes","na","na","na","Central Karoo","no","male",10,47
"4685",7.7621706071382,4,3,"na","Western.Cape","rock","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","na","na","na","yes","na","na","na","Central Karoo","no","female",12,29
"4686",8.14207720953875,3,3,"na","Western.Cape","rock","plastic","yes","na","na","yes","no","na","na","na","working","na","na","na","yes","na","na","na","na","na","yes","na","na","na","Central Karoo","no","male",11,46
"4687",8.01366541771603,4,4,"na","Western.Cape","rock","plastic","yes","na","na","yes","na","na","yes","na","working","na","na","na","yes","na","yes","yes","yes","na","yes","na","na","na","Central Karoo","no","male",7,77
"4688",7.37955074370388,8,3,"na","Western.Cape","rock","plastic","yes","na","na","yes","na","na","na","na","working","na","na","na","yes","na","yes","yes","na","na","yes","na","na","na","Central Karoo","no","male",7,56
"4689",8.06353729026113,3,5,"na","Western.Cape","cardboard","na","yes","na","na","yes","na","na","na","na","working","na","na","na","yes","na","na","na","na","na","yes","na","na","na","Central Karoo","no","male",11,48
"4690",9.14528004805655,3,6,"na","Western.Cape","rock","na","yes","na","na","na","na","na","na","na","working","na","yes","na","na","na","na","yes","na","na","yes","na","na","na","Central Karoo","no","male",13,57
"4691",7.44116046124059,5,4,"na","Western.Cape","cardboard","plastic","yes","na","na","yes","na","not.working","na","na","working","yes","na","na","na","na","yes","yes","na","na","yes","na","na","na","Central Karoo","no","male",10,55
"4692",7.22480731796181,5,4,"na","Western.Cape","iron","na","yes","na","na","yes","na","na","na","na","working","na","na","na","yes","na","na","yes","na","na","na","na","na","na","Central Karoo","no","female",12,38
"4693",9.64320447538733,1,-3,"na","Western.Cape","rock","na","no","na","na","yes","na","not.working","na","na","working","na","na","na","yes","na","na","na","na","na","yes","yes","na","na","Ugu","no","male",12,48
"4694",9.22949136237079,1,-3,"na","Western.Cape","iron","na","yes","na","na","yes","na","na","na","na","working","na","na","na","na","na","yes","na","na","na","yes","na","na","na","Ugu","no","female",15,72
"4695",8.72461378226521,2,7,"na","Western.Cape","iron","na","yes","na","na","yes","na","na","na","na","working","na","na","na","na","na","na","na","na","na","yes","na","na","na","Ugu","no","male",11,74
"4696",7.84206280737313,2,5,"na","Western.Cape","wood","na","yes","na","na","yes","na","na","na","na","working","na","na","na","na","na","yes","yes","na","na","yes","na","na","na","Ugu","no","male",10,72
"4698",9.27162580482067,2,-3,"na","Western.Cape","iron","na","yes","na","na","yes","na","na","na","na","working","na","na","na","yes","yes","na","na","na","na","yes","na","na","na","Ugu","no","male",13,57
"4699",8.26230094178745,4,5,"na","Western.Cape","iron","na","no","na","na","yes","na","na","na","na","working","na","na","na","yes","na","na","na","na","na","na","na","na","na","Ugu","no","male",13,47
"4700",8.86549988568445,3,9,"na","Western.Cape","rock","na","yes","na","na","yes","na","na","na","na","working","na","na","na","na","na","na","na","na","na","yes","na","na","na","Ugu","no","male",11,62
"4701",9.09661160664784,2,-3,"na","Western.Cape","iron","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","na","yes","yes","yes","na","na","yes","na","na","na","Ugu","no","male",13,68
"4702",6.10924758276437,1,1,"na","Western.Cape","cardboard","wattle","no","priv.borehole","na","yes","na","not.working","yes","na","working","na","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Siyanda","no","female",7,46
"4703",7.1071299023061,1,1,"shack","Western.Cape","wattle","wattle","no","priv.borehole","na","na","na","not.working","yes","na","working","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Siyanda","no","female",10,28
"4704",7.41349543505576,3,4,"backyard.house","Western.Cape","iron","na","yes","na","na","yes","na","na","yes","na","working","na","yes","yes","yes","na","yes","yes","yes","na","yes","na","na","yes","Siyanda","no","female",0,82
"4705",6.47586940776957,9,-3,"semidetached","Western.Cape","iron","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","na","na","na","yes","na","na","na","Siyanda","no","female",0,72
"4706",6.54524968396033,4,3,"na","Western.Cape","iron","na","no","na","chemical","na","na","not.working","na","na","no","na","na","na","na","na","yes","yes","na","na","yes","na","na","na","Ugu","no","female",7,42
"4707",6.19097669318195,4,5,"flatlet","Western.Cape","cardboard","na","no","na","na","yes","na","not.working","na","yes","no","na","yes","na","yes","yes","yes","yes","na","na","yes","yes","na","na","Ugu","no","male",6,49
"4708",5.82906150588571,5,3,"backyard.house","Western.Cape","rock","na","no","na","na","na","no","not.working","na","na","working","na","yes","na","yes","yes","yes","yes","na","na","yes","na","na","na","Siyanda","no","male",8,38
"4709",6.74299509894888,5,9,"na","Western.Cape","rock","na","yes","na","na","yes","na","na","yes","na","working","na","na","na","yes","na","yes","yes","na","na","yes","na","na","na","Ugu","no","female",12,52
"4710",6.81983996610341,9,-3,"na","Western.Cape","iron","na","yes","na","na","yes","na","na","na","na","working","na","yes","na","yes","na","yes","yes","na","na","yes","na","na","na","Siyanda","no","male",0,64
"4711",7.87221457810454,3,7,"na","Western.Cape","rock","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","na","na","yes","na","na","yes","na","na","na","Ugu","no","male",12,39
"4712",6.27727887910352,7,2,"na","Western.Cape","iron","plastic","yes","na","na","yes","na","working","yes","na","not.working","na","na","na","yes","na","yes","yes","yes","na","yes","na","na","yes","Central Karoo","no","male",8,50
"4713",5.74417859725588,8,4,"na","Western.Cape","iron","na","no","priv.borehole","na","yes","na","na","yes","na","no","yes","na","na","yes","yes","yes","yes","yes","na","yes","yes","na","yes","Siyanda","no","female",9,32
"4714",5.97222708164584,7,3,"na","Western.Cape","iron","na","yes","na","na","yes","no","not.working","yes","na","no","na","na","na","yes","yes","yes","yes","yes","na","yes","na","na","na","Central Karoo","no","male",10,47
"4716",7.90575334789028,2,6,"na","Western.Cape","rock","wattle","yes","na","flush.offsite","yes","na","na","na","na","working","na","na","na","yes","na","na","na","na","na","na","na","na","na","Central Karoo","no","male",10,69
"4718",6.96684267733376,7,-3,"na","Western.Cape","iron","na","yes","na","na","na","na","working","na","na","working","yes","na","na","yes","na","yes","yes","na","na","yes","na","na","na","Siyanda","no","female",6,72
"4719",6.61658209363943,3,2,"na","Western.Cape","cardboard","na","yes","na","na","na","na","not.working","yes","na","working","na","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","na","yes","Siyanda","no","male",4,68
"4720",6.42250025920707,6,-3,"na","Western.Cape","iron","na","yes","na","na","yes","na","not.working","na","na","working","yes","na","na","yes","na","yes","yes","na","na","yes","na","na","na","Siyanda","no","female",8,65
"4721",9.77565418102624,2,3,"na","Western.Cape","iron","na","yes","na","na","yes","na","not.working","na","na","working","na","yes","na","yes","na","yes","yes","na","na","yes","na","na","na","Siyanda","no","male",10,49
"4722",8.30002014375065,3,5,"na","Western.Cape","iron","na","no","na","na","yes","na","not.working","na","na","working","yes","na","na","na","na","na","yes","na","na","yes","na","na","na","Siyanda","no","male",12,45
"4723",7.18841273649695,5,2,"na","Western.Cape","iron","plastic","yes","na","na","yes","na","not.working","na","na","not.working","yes","na","na","yes","yes","yes","yes","na","na","yes","na","na","yes","Central Karoo","no","male",10,63
"4724",7.03608600725839,4,5,"na","Western.Cape","iron","na","yes","na","na","yes","na","na","na","na","working","na","yes","yes","yes","yes","yes","yes","yes","na","na","yes","na","na","Siyanda","no","female",3,65
"4725",6.8489074103241,5,5,"na","Western.Cape","rock","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","na","na","yes","na","na","yes","yes","na","yes","Ugu","no","male",10,43
"4726",6.1892902904379,4,-3,"na","Western.Cape","iron","na","no","na","na","yes","na","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","na","yes","na","yes","yes","Siyanda","no","male",8,28
"4727",6.06549443480973,3,3,"na","Western.Cape","iron","na","no","na","na","yes","na","not.working","yes","yes","no","na","na","na","yes","na","yes","yes","yes","na","yes","na","na","na","Siyanda","no","male",7,55
"4728",6.26915292457669,4,3,"na","Western.Cape","cardboard","na","no","na","na","yes","na","not.working","na","na","no","na","na","na","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Siyanda","no","male",7,29
"4729",6.77752382062509,8,4,"na","Western.Cape","rock","na","yes","na","na","yes","na","na","na","na","working","yes","yes","na","na","na","na","yes","yes","na","na","yes","na","na","Central Karoo","no","male",0,64
"4730",8.46589989702869,2,-3,"na","Western.Cape","cardboard","na","no","na","na","yes","na","na","yes","na","working","na","na","na","na","na","na","na","yes","na","yes","yes","na","yes","Central Karoo","no","male",13,83
"4731",6.67137829012793,3,4,"na","Western.Cape","iron","na","no","na","na","yes","na","not.working","yes","na","no","yes","na","na","yes","yes","yes","yes","yes","na","yes","yes","na","yes","Siyanda","no","male",2,56
"4732",6.22604283809518,4,2,"na","Western.Cape","iron","na","no","na","na","no","na","not.working","na","na","working","na","na","na","yes","yes","yes","yes","na","na","yes","na","na","na","Siyanda","no","male",12,36
"4733",5.89707516719562,6,1,"na","Western.Cape","iron","plastic","no","na","na","yes","no","not.working","na","na","no","yes","na","na","yes","na","yes","yes","na","na","yes","na","na","yes","Siyanda","no","male",9,32
"4734",5.38669368936241,8,4,"na","Western.Cape","cardboard","na","no","na","na","yes","na","not.working","na","na","no","yes","yes","na","yes","yes","yes","yes","na","yes","yes","yes","na","na","Siyanda","no","male",6,37
"4735",6.05840730422291,7,2,"na","Western.Cape","iron","na","no","na","na","yes","na","not.working","na","yes","no","yes","na","yes","yes","na","yes","yes","na","na","yes","yes","na","na","Siyanda","no","male",9,32
"4736",6.17196795681416,4,-3,"na","Western.Cape","iron","na","no","na","na","yes","na","not.working","yes","na","no","yes","yes","na","yes","yes","yes","yes","yes","na","yes","yes","na","yes","Siyanda","no","male",3,42
"4737",5.73965146808451,6,3,"na","Western.Cape","iron","na","no","na","na","yes","na","not.working","na","yes","no","yes","na","na","yes","yes","yes","yes","na","na","na","yes","na","yes","Siyanda","no","female",0,63
"4738",6.03559750939815,4,1,"na","Western.Cape","iron","plastic","no","na","na","yes","na","not.working","yes","na","no","yes","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Siyanda","no","male",0,44
"4739",7.93627327718453,4,5,"na","Western.Cape","rock","na","yes","na","na","yes","na","na","na","na","working","na","na","na","yes","na","yes","na","na","na","yes","na","na","na","Ugu","no","male",11,51
"4740",6.70746753065801,3,-3,"na","Western.Cape","rock","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","yes","yes","yes","na","na","yes","na","na","na","Ugu","no","male",8,65
"4741",7.18643117019019,5,5,"na","Western.Cape","iron","na","yes","na","na","yes","na","na","na","na","working","na","na","na","yes","na","na","yes","na","na","na","yes","na","na","Siyanda","no","male",12,45
"4742",7.42670709736885,1,4,"na","Western.Cape","cardboard","na","no","na","na","no","na","not.working","na","na","no","na","na","na","yes","yes","yes","yes","na","yes","yes","yes","na","na","Siyanda","no","female",5,37
"4743",7.96438862699911,3,-3,"na","Western.Cape","rock","na","yes","na","na","yes","na","na","na","na","working","na","na","na","na","na","na","na","na","na","yes","na","na","na","Ugu","no","male",13,58
"4744",8.02846065666621,4,4,"na","Western.Cape","iron","na","yes","na","na","na","na","na","yes","na","working","yes","na","yes","yes","na","yes","na","yes","na","na","na","na","na","Central Karoo","no","female",12,64
"4745",6.49793610116265,6,2,"na","Western.Cape","iron","na","no","na","na","yes","na","na","yes","na","working","na","na","na","na","na","yes","yes","na","na","na","na","na","yes","Central Karoo","no","female",12,36
"4746",6.08403208603025,8,2,"shack","Western.Cape","iron","na","yes","na","na","yes","na","not.working","yes","na","working","na","yes","yes","yes","yes","yes","yes","yes","na","na","yes","yes","yes","Central Karoo","no","female",10,59
"4747",5.7626886899445,8,4,"backyard.shack","Western.Cape","iron","na","no","na","na","yes","na","not.working","yes","na","working","yes","yes","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central Karoo","no","female",12,53
"4748",6.23725826602755,4,4,"na","Western.Cape","iron","na","yes","na","na","yes","na","na","yes","na","working","na","na","na","yes","na","yes","yes","yes","na","yes","na","na","na","Central Karoo","no","female",8,73
"4749",6.7664407933307,6,4,"backyard.house","Western.Cape","iron","na","yes","na","na","yes","na","not.working","na","na","not.working","na","na","na","yes","na","yes","yes","na","na","yes","na","na","na","Central Karoo","no","female",10,39
"4750",6.57897368959952,6,4,"na","Western.Cape","iron","na","yes","na","na","na","na","working","yes","na","working","na","yes","yes","yes","yes","yes","yes","yes","na","yes","na","yes","na","Central Karoo","no","female",10,55
"4751",4.39027559927612,10,4,"backyard.house","Western.Cape","iron","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","yes","yes","yes","na","na","na","yes","na","yes","Central Karoo","no","female",8,66
"4752",5.95711386525789,4,4,"na","Western.Cape","iron","na","yes","na","na","na","na","not.working","yes","na","working","na","na","na","yes","na","yes","yes","yes","na","na","yes","na","yes","Central Karoo","no","male",8,53
"4753",7.27775325843699,4,-3,"na","Western.Cape","iron","na","yes","na","na","na","na","not.working","na","na","working","yes","na","na","yes","na","yes","yes","na","na","yes","na","na","yes","Central Karoo","no","female",12,33
"4754",8.71249732868099,4,4,"na","Western.Cape","iron","na","no","na","na","na","na","not.working","na","na","working","na","na","yes","yes","yes","yes","yes","na","na","na","na","na","yes","Central Karoo","no","female",9,51
"4755",6.17378610390194,4,4,"na","Western.Cape","iron","na","yes","priv.borehole","na","yes","na","na","yes","na","working","yes","yes","na","yes","yes","yes","yes","yes","na","yes","na","na","yes","Central Karoo","no","female",8,57
"4756",6.25467660601746,4,5,"na","Western.Cape","iron","na","yes","na","na","yes","na","not.working","na","na","working","na","na","yes","yes","na","yes","yes","na","na","yes","na","na","yes","Central Karoo","no","female",13,70
"4757",5.11599580975408,3,5,"na","Western.Cape","iron","na","no","na","na","yes","na","not.working","na","na","working","yes","yes","na","yes","yes","yes","yes","na","na","yes","na","na","yes","Central Karoo","no","female",11,33
"4758",6.84743229180079,11,5,"backyard.house","Western.Cape","iron","na","yes","na","na","na","na","not.working","na","na","not.working","na","na","na","yes","yes","yes","yes","na","na","na","na","na","na","Central Karoo","no","male",6,80
"4759",5.86006536631048,7,2,"na","Western.Cape","iron","na","yes","na","na","yes","na","not.working","yes","na","working","yes","yes","na","yes","yes","yes","yes","yes","na","yes","yes","na","yes","Central Karoo","no","female",8,51
"4760",8.35467426191846,2,-3,"na","Western.Cape","iron","na","yes","na","na","yes","na","not.working","yes","na","working","na","na","na","yes","na","na","na","na","na","yes","na","na","na","Central Karoo","no","female",13,43
"4761",7.57870544454869,3,9,"backyard.shack","Western.Cape","cardboard","na","no","na","na","yes","na","na","na","na","working","na","na","na","yes","yes","yes","yes","na","na","yes","na","na","na","Siyanda","no","female",8,64
"4762",7.45240365493249,2,1,"na","Western.Cape","iron","na","no","priv.borehole","na","yes","na","not.working","na","yes","no","yes","yes","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Don't Know","no","male",0,45
"4764",7.37775890822787,1,1,"na","Western.Cape","iron","na","no","priv.borehole","na","na","na","not.working","yes","yes","no","na","yes","na","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Don't Know","no","male",5,44
"4766",6.2412414713354,6,4,"na","Western.Cape","iron","na","no","na","na","yes","yes","not.working","na","yes","no","yes","yes","na","yes","yes","yes","yes","na","yes","na","yes","yes","yes","Don't Know","no","female",9,38
"4767",5.96653189067949,8,3,"na","Western.Cape","iron","plastic","no","na","na","yes","na","not.working","yes","yes","no","na","yes","na","yes","yes","yes","yes","yes","na","yes","yes","na","yes","Don't Know","no","male",6,46
"4768",6.5510803350434,2,3,"na","Western.Cape","iron","na","no","na","na","yes","na","not.working","na","yes","no","yes","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","yes","Don't Know","no","male",5,26
"4769",5.99146454710798,3,4,"na","Western.Cape","iron","na","no","na","na","yes","na","not.working","na","yes","no","na","na","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Don't Know","no","male",3,50
"4770",8.3348612439433,3,9,"na","Western.Cape","cardboard","na","no","na","na","yes","na","working","na","yes","no","na","na","na","na","na","na","na","na","na","na","na","na","na","Don't Know","no","male",11,64
"4771",7.04116770701112,1,2,"na","Western.Cape","cardboard","na","yes","na","na","no","na","working","na","na","working","na","yes","na","yes","yes","yes","yes","na","na","yes","na","na","na","Ugu","no","male",3,45
"4772",7.20854299067684,6,5,"na","Western.Cape","cardboard","na","yes","na","na","yes","na","na","na","na","not.working","na","na","na","yes","na","yes","yes","na","na","yes","na","na","na","Ugu","no","male",8,51
"4773",6.79285474264487,9,4,"na","Western.Cape","iron","na","yes","na","na","yes","na","not.working","na","na","working","yes","na","na","yes","yes","yes","yes","na","na","yes","na","na","na","Ugu","no","male",2,56
"4774",6.96129604591017,4,3,"na","Western.Cape","iron","na","no","na","na","na","na","not.working","na","na","working","na","yes","yes","yes","na","yes","yes","na","yes","na","na","na","yes","Ugu","no","male",6,42
"4775",6.18874840185594,2,-3,"na","Western.Cape","cardboard","na","yes","na","na","yes","na","not.working","yes","na","working","na","yes","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","Ugu","no","female",3,50
"4776",6.89137179973161,8,2,"na","Western.Cape","iron","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","yes","yes","yes","yes","na","na","na","na","no","na","Ugu","no","female",6,57
"4778",7.17300000631498,6,5,"na","Western.Cape","iron","na","yes","na","na","yes","na","na","na","na","working","yes","na","na","yes","na","yes","yes","na","na","yes","na","na","na","Ugu","no","male",5,55
"4779",8.66178186648868,1,7,"na","Western.Cape","iron","na","yes","na","na","yes","na","not.working","yes","na","working","na","na","na","yes","yes","yes","na","yes","na","yes","na","na","na","Ugu","no","female",12,79
"4780",7.86688079086409,1,1,"flatlet","Western.Cape","cardboard","wattle","yes","com.borehole","bucket","na","na","not.working","na","na","working","na","na","na","yes","yes","yes","yes","na","na","na","na","na","yes","Central Karoo","no","male",11,40
"4781",6.57874184565144,5,5,"na","Western.Cape","cardboard","na","no","na","na","yes","na","not.working","na","yes","no","na","na","na","yes","yes","yes","yes","na","na","yes","yes","na","na","Don't Know","no","male",8,34
"4782",6.64205211324913,3,1,"na","Western.Cape","iron","na","no","na","bucket","na","na","not.working","na","yes","no","na","na","na","yes","yes","yes","yes","na","yes","yes","yes","na","yes","Don't Know","no","female",7,56
"4784",6.11815482575745,6,4,"na","Western.Cape","iron","na","no","na","na","yes","na","not.working","yes","na","no","yes","yes","na","yes","yes","yes","yes","yes","na","yes","yes","na","yes","Don't Know","no","male",7,42
"4785",8.52184738290716,2,3,"na","Western.Cape","cardboard","na","yes","na","na","yes","na","na","yes","yes","working","na","na","na","na","yes","na","no","na","na","na","na","na","na","Don't Know","no","male",12,61
"4786",6.98471632011827,1,1,"na","Western.Cape","rock","na","no","na","na","yes","na","not.working","yes","yes","no","yes","na","yes","yes","na","yes","yes","yes","na","yes","yes","na","na","Don't Know","no","male",4,56
"4787",7.52411302965646,4,5,"na","Western.Cape","iron","plastic","no","na","na","yes","na","working","na","yes","no","na","na","na","na","yes","yes","yes","na","na","yes","na","na","na","Don't Know","no","male",7,49
"4788",5.13579843705026,5,2,"na","Western.Cape","cardboard","na","no","na","na","na","na","not.working","na","yes","no","na","na","na","yes","na","yes","yes","yes","na","yes","na","na","na","Don't Know","no","male",5,65
"4789",6.30991827822652,5,1,"na","Western.Cape","cardboard","na","no","na","na","yes","na","not.working","yes","yes","no","na","yes","na","yes","yes","yes","yes","yes","na","yes","yes","na","yes","Don't Know","no","male",5,36
"4790",5.74726758659594,3,1,"na","Western.Cape","iron","na","no","com.borehole","bucket","yes","na","not.working","yes","yes","no","yes","yes","na","yes","yes","yes","yes","yes","na","yes","yes","yes","na","Don't Know","no","male",0,70
"4791",8.1212258055613,3,7,"na","Western.Cape","cardboard","na","yes","na","na","yes","na","not.working","na","na","working","na","na","na","na","na","na","na","na","na","na","na","na","na","Don't Know","no","male",8,51
"4792",9.68553879785938,1,5,"na","Western.Cape","iron","na","yes","na","na","yes","na","na","na","na","working","na","na","na","yes","na","yes","na","na","na","yes","na","na","na","Don't Know","no","male",11,50
"4793",6.46536681676938,4,3,"na","Western.Cape","iron","plastic","no","na","na","yes","na","not.working","yes","yes","no","na","yes","na","yes","yes","yes","yes","yes","na","yes","na","na","na","Don't Know","no","male",5,42
"4794",6.46526839570536,4,-3,"na","Western.Cape","iron","plastic","no","na","na","yes","na","not.working","na","na","no","yes","yes","yes","yes","yes","yes","yes","yes","na","yes","na","na","yes","Don't Know","no","male",8,39
"4795",7.1483019818871,1,3,"na","Western.Cape","iron","plastic","no","na","na","na","na","not.working","yes","na","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Don't Know","no","male",9,27
"4796",7.15882078848151,1,3,"na","Western.Cape","iron","plastic","no","na","na","na","na","not.working","yes","na","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Don't Know","no","male",9,37
"4797",7.10966242563246,1,3,"na","Western.Cape","iron","plastic","no","na","na","na","yes","not.working","yes","na","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Don't Know","no","male",7,20
"4798",6.21853531333232,2,2,"na","Western.Cape","na","cardboard","no","na","na","na","na","not.working","yes","na","no","yes","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Don't Know","no","male",7,39
"4799",6.99080008641826,3,3,"na","Western.Cape","iron","na","no","na","na","yes","na","not.working","na","yes","no","na","na","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Don't Know","no","male",9,36
"4800",5.45958551414416,2,2,"na","Western.Cape","iron","na","no","na","na","na","na","not.working","na","na","no","na","na","yes","yes","yes","yes","yes","na","na","yes","yes","na","yes","Don't Know","no","female",10,36
"4801",6.65544035036765,2,3,"na","Western.Cape","iron","na","no","na","na","na","na","not.working","na","na","not.working","yes","yes","yes","yes","yes","yes","yes","na","na","na","yes","yes","yes","Don't Know","no","male",0,38
"4802",6.56015236396717,3,1,"backyard.shack","Western.Cape","cardboard","wattle","yes","neighbour","bucket","yes","na","not.working","na","na","no","yes","yes","yes","yes","yes","yes","yes","na","na","yes","yes","na","yes","Don't Know","no","male",7,29
"4803",6.57572142036052,7,3,"na","Western.Cape","cardboard","na","no","na","na","yes","na","not.working","na","na","no","yes","yes","na","yes","na","yes","yes","na","na","yes","na","na","na","Don't Know","no","female",4,44
"4804",5.93299222474204,3,3,"na","Western.Cape","iron","plastic","yes","rain.tank","flush.offsite","no","yes","not.working","na","na","no","na","yes","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","Don't Know","no","female",7,50
"4805",5.8481270175098,4,-3,"semidetached","Western.Cape","iron","na","no","na","na","na","na","not.working","na","yes","no","yes","yes","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Don't Know","no","female",0,52
"4807",6.55892880311224,6,5,"flatlet","Western.Cape","cardboard","wattle","yes","com.borehole","na","na","na","not.working","yes","na","not.working","na","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","Ugu","no","female",9,41
"4808",6.43804779728664,2,3,"flatlet","Western.Cape","cardboard","wattle","yes","com.borehole","na","na","yes","not.working","yes","na","no","na","na","na","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Ugu","no","male",0,34
